date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2019-10-25 18:00:00,1.10206,1.10201,1.10215,1.10184,1.10226,1.10222,1.10237,1.10205,2628
2019-10-25 19:00:00,1.10201,1.10172,1.10202,1.1014,1.10222,1.10195,1.10224,1.10161,3199
2019-10-25 20:00:00,1.10172,1.10165,1.10195,1.10138,1.10195,1.10236,1.10238,1.10171,2627
2019-10-27 18:00:00,1.10165,1.10179,1.10179,1.10177,1.10236,1.10241,1.10242,1.10241,2
2019-10-27 20:00:00,1.10179,1.10135,1.10184,1.10135,1.10241,1.10308,1.10317,1.10241,26
2019-10-27 21:00:00,1.10135,1.10131,1.10211,1.10105,1.10308,1.10242,1.10305,1.10165,939
2019-10-27 22:00:00,1.10131,1.10196,1.10209,1.10135,1.10242,1.10226,1.10244,1.10204,1070
2019-10-27 23:00:00,1.10196,1.10209,1.10216,1.10192,1.10226,1.10233,1.1024,1.10216,1419
2019-10-28 00:00:00,1.10209,1.10221,1.10229,1.10199,1.10233,1.10243,1.10251,1.10218,1802
2019-10-28 01:00:00,1.10221,1.10252,1.10259,1.10216,1.10243,1.10274,1.10282,1.10239,2600
2019-10-28 02:00:00,1.10252,1.10312,1.10315,1.10249,1.10274,1.10334,1.10336,1.10271,4608
2019-10-28 03:00:00,1.10312,1.10324,1.10337,1.10308,1.10334,1.10348,1.10357,1.10331,2712
2019-10-28 04:00:00,1.10324,1.10366,1.10369,1.10323,1.10348,1.10388,1.10392,1.10345,1238
2019-10-28 05:00:00,1.10366,1.10379,1.10383,1.10341,1.10388,1.10403,1.10405,1.10364,2043
2019-10-28 06:00:00,1.10379,1.10353,1.10388,1.10347,1.10403,1.10377,1.10408,1.10369,3414
2019-10-28 07:00:00,1.10353,1.10313,1.10359,1.10275,1.10377,1.10333,1.1038,1.10297,5886
2019-10-28 08:00:00,1.10313,1.10344,1.10415,1.10311,1.10333,1.10364,1.10433,1.10329,10404
2019-10-28 09:00:00,1.10344,1.10402,1.10457,1.10323,1.10364,1.10423,1.10478,1.10342,7632
2019-10-28 10:00:00,1.10402,1.10396,1.1044,1.10344,1.10423,1.10417,1.1046,1.10365,5425
2019-10-28 11:00:00,1.10396,1.10456,1.10516,1.10394,1.10417,1.10478,1.1053,1.10414,6691
2019-10-28 12:00:00,1.10456,1.1049,1.10566,1.10428,1.10478,1.10512,1.10586,1.10448,8304
2019-10-28 13:00:00,1.1049,1.10541,1.10578,1.10423,1.10512,1.10561,1.10596,1.10442,9257
2019-10-28 14:00:00,1.10541,1.10426,1.10541,1.10414,1.10561,1.10448,1.10561,1.10431,11033
2019-10-28 15:00:00,1.10426,1.10476,1.1048,1.10351,1.10448,1.10498,1.105,1.10371,9733
2019-10-28 16:00:00,1.10476,1.10443,1.10497,1.10398,1.10498,1.10464,1.10516,1.10418,7519
2019-10-28 17:00:00,1.10443,1.10437,1.10465,1.10414,1.10464,1.10458,1.10486,1.10435,3410
2019-10-28 18:00:00,1.10437,1.10388,1.10443,1.10372,1.10458,1.1041,1.10462,1.10393,2815
2019-10-28 19:00:00,1.10388,1.10413,1.10421,1.10381,1.1041,1.10435,1.10442,1.10401,3000
2019-10-28 20:00:00,1.10413,1.10386,1.10414,1.10384,1.10435,1.10411,1.10436,1.10409,1509
2019-10-28 21:00:00,1.10386,1.10411,1.10426,1.10367,1.10411,1.10453,1.10459,1.10408,1868
2019-10-28 22:00:00,1.10411,1.1039,1.10421,1.10382,1.10453,1.10414,1.10453,1.10405,1245
2019-10-28 23:00:00,1.1039,1.10404,1.10411,1.10383,1.10414,1.10427,1.10434,1.10405,1094
2019-10-29 00:00:00,1.10404,1.10387,1.1042,1.10384,1.10427,1.10411,1.1044,1.10407,2716
