date,bidopen,bidclose,bidhigh,bidlow,tickqty,bidclose_15_1,bidclose_15_2,bidclose_15_3,bidclose_15_4,bidclose_15_5,bidclose_15_6,bidclose_15_7,bidclose_15_8,bidclose_15_9,bidclose_15_10,bidclose_15_11,bidclose_15_12,bidclose_15_13,bidclose_15_14,bidclose_15_15,bidclose_15_16,bidclose_15_17,bidclose_15_18,bidclose_15_19,bidclose_15_20,bidclose_15_21,bidclose_15_22,bidclose_15_23,bidclose_15_24
2018-09-13 05:00:00,1.16224,1.16199,1.16284,1.16177,4871,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158,1.15848,1.15793,1.15741,1.1579,1.15649,1.15545,1.15442,1.15606,1.15584,1.15601,1.15562,1.15646,1.15688
2018-09-13 06:00:00,1.16199,1.16238,1.16318,1.16156,11869,1.15548,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158,1.15848,1.15793,1.15741,1.1579,1.15649,1.15545,1.15442,1.15606,1.15584,1.15601,1.15562,1.15646
2018-09-13 07:00:00,1.16238,1.1615,1.16288,1.16146,16141,1.15677,1.15548,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158,1.15848,1.15793,1.15741,1.1579,1.15649,1.15545,1.15442,1.15606,1.15584,1.15601,1.15562
2018-09-13 08:00:00,1.1615,1.16139,1.16246,1.16139,13408,1.15743,1.15677,1.15548,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158,1.15848,1.15793,1.15741,1.1579,1.15649,1.15545,1.15442,1.15606,1.15584,1.15601
2018-09-13 09:00:00,1.16139,1.16166,1.16194,1.16084,15205,1.15939,1.15743,1.15677,1.15548,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158,1.15848,1.15793,1.15741,1.1579,1.15649,1.15545,1.15442,1.15606,1.15584
2018-09-13 10:00:00,1.16166,1.16191,1.16246,1.16144,10472,1.15786,1.15939,1.15743,1.15677,1.15548,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158,1.15848,1.15793,1.15741,1.1579,1.15649,1.15545,1.15442,1.15606
2018-09-13 11:00:00,1.16191,1.16211,1.16337,1.16168,22054,1.1584,1.15786,1.15939,1.15743,1.15677,1.15548,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158,1.15848,1.15793,1.15741,1.1579,1.15649,1.15545,1.15442
2018-09-13 12:00:00,1.16211,1.16784,1.16807,1.16135,50866,1.16263,1.1584,1.15786,1.15939,1.15743,1.15677,1.15548,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158,1.15848,1.15793,1.15741,1.1579,1.15649,1.15545
2018-09-13 13:00:00,1.16784,1.16913,1.17003,1.16726,40139,1.16245,1.16263,1.1584,1.15786,1.15939,1.15743,1.15677,1.15548,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158,1.15848,1.15793,1.15741,1.1579,1.15649
2018-09-13 14:00:00,1.16913,1.1675,1.16953,1.16675,37588,1.16178,1.16245,1.16263,1.1584,1.15786,1.15939,1.15743,1.15677,1.15548,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158,1.15848,1.15793,1.15741,1.1579
2018-09-13 15:00:00,1.1675,1.16708,1.1685,1.16701,17309,1.16205,1.16178,1.16245,1.16263,1.1584,1.15786,1.15939,1.15743,1.15677,1.15548,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158,1.15848,1.15793,1.15741
2018-09-13 16:00:00,1.16708,1.16777,1.16813,1.16688,10622,1.1621,1.16205,1.16178,1.16245,1.16263,1.1584,1.15786,1.15939,1.15743,1.15677,1.15548,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158,1.15848,1.15793
2018-09-13 17:00:00,1.16777,1.1683,1.16879,1.16754,11404,1.16233,1.1621,1.16205,1.16178,1.16245,1.16263,1.1584,1.15786,1.15939,1.15743,1.15677,1.15548,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158,1.15848
2018-09-13 18:00:00,1.1683,1.16914,1.16939,1.16821,10881,1.16306,1.16233,1.1621,1.16205,1.16178,1.16245,1.16263,1.1584,1.15786,1.15939,1.15743,1.15677,1.15548,1.15634,1.15925,1.15939,1.15958,1.1604,1.15937,1.15846,1.15864,1.15822,1.15798,1.158
