date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2001-09-15 21:00:00,0.9226,0.9134,0.9331,0.9087,0.923,0.9138,0.9335,0.9091,0
2001-09-22 21:00:00,0.9134,0.9101,0.9247,0.9082,0.9138,0.9105,0.9251,0.9086,0
2001-09-29 21:00:00,0.9101,0.9192,0.923,0.9068,0.9105,0.9196,0.9234,0.9072,0
2001-10-06 21:00:00,0.9192,0.9118,0.924,0.8992,0.9196,0.9122,0.9244,0.8996,0
2001-10-13 21:00:00,0.9118,0.8982,0.9141,0.8967,0.9122,0.8986,0.9145,0.8971,0
2001-10-20 21:00:00,0.8982,0.8929,0.9001,0.887,0.8986,0.8933,0.9005,0.8874,0
2001-10-27 21:00:00,0.8929,0.9014,0.9118,0.8923,0.8933,0.9018,0.9122,0.8927,0
2001-11-03 21:00:00,0.9014,0.8947,0.9046,0.8893,0.9018,0.8951,0.905,0.8897,0
2001-11-10 21:00:00,0.8947,0.8844,0.9014,0.8773,0.8951,0.8848,0.9018,0.8777,0
2001-11-17 21:00:00,0.8844,0.8781,0.8852,0.8737,0.8848,0.8785,0.8856,0.8741,0
2001-11-24 21:00:00,0.8781,0.8964,0.8981,0.877,0.8785,0.8968,0.8985,0.8774,0
2001-12-01 21:00:00,0.8964,0.8896,0.8967,0.8842,0.8968,0.89,0.8971,0.8846,0
2001-12-08 21:00:00,0.8896,0.9033,0.9051,0.8841,0.89,0.9037,0.9055,0.8845,0
2001-12-15 21:00:00,0.9033,0.8888,0.908,0.8854,0.9037,0.8892,0.9084,0.8858,0
2001-12-22 21:00:00,0.8888,0.8843,0.8904,0.874,0.8892,0.8847,0.8908,0.8744,0
2001-12-29 21:00:00,0.8843,0.8946,0.9064,0.8825,0.8847,0.895,0.9068,0.8829,0
2002-01-05 21:00:00,0.8946,0.8925,0.8994,0.8863,0.895,0.8929,0.8998,0.8867,0
2002-01-12 21:00:00,0.8925,0.8844,0.895,0.8792,0.8929,0.8848,0.8954,0.8796,0
2002-01-19 21:00:00,0.8844,0.865,0.8888,0.863,0.8848,0.8654,0.8892,0.8634,0
2002-01-26 21:00:00,0.865,0.8613,0.8671,0.8562,0.8654,0.8617,0.8675,0.8566,0
2002-02-02 21:00:00,0.8613,0.8727,0.8752,0.8604,0.8617,0.8731,0.8756,0.8608,0
2002-02-09 21:00:00,0.8727,0.8733,0.8799,0.8679,0.8731,0.8737,0.8803,0.8683,0
2002-02-16 21:00:00,0.8733,0.8752,0.8781,0.8664,0.8737,0.8756,0.8785,0.8668,0
2002-02-23 21:00:00,0.8752,0.8653,0.876,0.8614,0.8756,0.8657,0.8764,0.8618,0
2002-03-02 21:00:00,0.8653,0.8744,0.8838,0.8632,0.8657,0.8748,0.8842,0.8636,0
2002-03-09 21:00:00,0.8744,0.8823,0.8868,0.8704,0.8748,0.8827,0.8872,0.8708,0
2002-03-16 21:00:00,0.8823,0.8769,0.886,0.8749,0.8827,0.8773,0.8864,0.8753,0
2002-03-23 21:00:00,0.8769,0.8713,0.8794,0.8699,0.8773,0.8717,0.8798,0.8703,0
2002-03-30 21:00:00,0.8713,0.8787,0.8855,0.871,0.8717,0.8791,0.8859,0.8714,0
2002-04-06 21:00:00,0.8787,0.8798,0.8844,0.8734,0.8791,0.8802,0.8848,0.8738,0
2002-04-13 21:00:00,0.8798,0.8908,0.8921,0.8786,0.8802,0.8912,0.8925,0.879,0
2002-04-20 21:00:00,0.8908,0.9013,0.9019,0.8859,0.8912,0.9017,0.9023,0.8863,0
2002-04-27 21:00:00,0.9013,0.9159,0.9172,0.8989,0.9017,0.9163,0.9176,0.8993,0
2002-05-04 21:00:00,0.9159,0.9135,0.9187,0.9035,0.9163,0.9139,0.9191,0.9039,0
2002-05-11 21:00:00,0.9135,0.9205,0.9218,0.8994,0.9139,0.9209,0.9222,0.8998,0
2002-05-18 21:00:00,0.9205,0.9207,0.9276,0.916,0.9209,0.9211,0.928,0.9164,0
2002-05-25 21:00:00,0.9207,0.9328,0.9411,0.9181,0.9211,0.9332,0.9415,0.9185,0
2002-06-01 21:00:00,0.9328,0.9432,0.9487,0.9302,0.9332,0.9436,0.9491,0.9306,0
2002-06-08 21:00:00,0.9432,0.9456,0.9521,0.9385,0.9436,0.946,0.9525,0.9389,0
2002-06-15 21:00:00,0.9456,0.9715,0.9716,0.941,0.946,0.9719,0.972,0.9414,0
2002-06-22 21:00:00,0.9715,0.9906,0.9989,0.9658,0.9719,0.991,0.9993,0.9662,0
2002-06-29 21:00:00,0.9906,0.9729,0.9971,0.9713,0.991,0.9729,0.9975,0.9713,0
2002-07-06 21:00:00,0.9729,0.991,0.9967,0.9724,0.9729,0.991,0.9967,0.9724,0
2002-07-13 21:00:00,0.991,1.0144,1.0204,0.9907,0.991,1.0144,1.0204,0.9907,0
2002-07-20 21:00:00,1.0144,0.9869,1.016,0.9843,1.0144,0.9869,1.016,0.9843,0
2002-07-27 21:00:00,0.9869,0.9864,0.9916,0.9722,0.9869,0.9864,0.9916,0.9722,0
2002-08-03 21:00:00,0.9864,0.9698,0.9876,0.9621,0.9864,0.9698,0.9876,0.9621,0
2002-08-10 21:00:00,0.9698,0.9844,0.9891,0.9692,0.9698,0.9844,0.9891,0.9692,0
2002-08-17 21:00:00,0.9844,0.9724,0.987,0.9662,0.9844,0.9724,0.987,0.9662,0
2002-08-24 21:00:00,0.9724,0.9824,0.9884,0.9684,0.9724,0.9824,0.9884,0.9684,0
2002-08-31 21:00:00,0.9824,0.9818,0.9989,0.9796,0.9824,0.9818,0.9989,0.9796,0
2002-09-07 21:00:00,0.9818,0.9716,0.9837,0.97,0.9818,0.9716,0.9837,0.97,0
2002-09-14 21:00:00,0.9716,0.9814,0.9873,0.9607,0.9716,0.9814,0.9873,0.9607,0
2002-09-21 21:00:00,0.9814,0.9806,0.9856,0.9726,0.9814,0.9806,0.9856,0.9726,0
2002-09-28 21:00:00,0.9806,0.9789,0.9909,0.9779,0.9806,0.9789,0.9909,0.9779,0
2002-10-05 21:00:00,0.9789,0.9864,0.9925,0.9758,0.9789,0.9864,0.9925,0.9758,0
2002-10-12 21:00:00,0.9864,0.9717,0.9891,0.9694,0.9864,0.9717,0.9891,0.9694,0
2002-10-19 21:00:00,0.9717,0.9762,0.9801,0.9684,0.9717,0.9762,0.9801,0.9684,0
2002-10-26 21:00:00,0.9762,0.9965,0.9966,0.9726,0.9762,0.9965,0.9966,0.9726,0
2002-11-02 21:00:00,0.9965,1.0128,1.0146,0.9931,0.9965,1.0128,1.0146,0.9931,0
2002-11-09 21:00:00,1.0128,1.0092,1.0169,1.0011,1.0128,1.0092,1.0169,1.0011,0
2002-11-16 21:00:00,1.0092,0.9969,1.0141,0.9959,1.0092,0.9969,1.0141,0.9959,0
2002-11-23 21:00:00,0.9969,0.9943,0.9969,0.9878,0.9969,0.9943,0.9969,0.9878,0
2002-11-30 21:00:00,0.9943,1.0094,1.0124,0.9858,0.9943,1.0094,1.0124,0.9858,0
2002-12-07 21:00:00,1.0094,1.0226,1.0258,1.0059,1.0094,1.0226,1.0258,1.0059,0
2002-12-14 21:00:00,1.0226,1.0267,1.0333,1.0191,1.0226,1.0267,1.0333,1.0191,0
2002-12-21 21:00:00,1.0267,1.0436,1.0441,1.0213,1.0267,1.0436,1.0441,1.0213,0
2002-12-28 21:00:00,1.0436,1.0415,1.0502,1.0333,1.0436,1.0415,1.0502,1.0333,0
2003-01-04 21:00:00,1.0415,1.0576,1.0583,1.0359,1.0415,1.0576,1.0583,1.0359,0
2003-01-11 21:00:00,1.0576,1.0664,1.0677,1.0502,1.0576,1.0664,1.0677,1.0502,0
2003-01-18 21:00:00,1.0664,1.0827,1.0847,1.0629,1.0664,1.0827,1.0847,1.0629,0
2003-01-25 21:00:00,1.0827,1.0763,1.0905,1.072,1.0827,1.0763,1.0905,1.072,0
2003-02-01 21:00:00,1.0763,1.0826,1.0936,1.0691,1.0763,1.0826,1.0936,1.0691,0
2003-02-08 21:00:00,1.0826,1.0791,1.0857,1.0664,1.0826,1.0791,1.0857,1.0664,0
2003-02-15 21:00:00,1.0791,1.0763,1.0845,1.0664,1.0791,1.0763,1.0845,1.0664,0
2003-02-22 21:00:00,1.0763,1.0798,1.0837,1.0704,1.0763,1.0798,1.0837,1.0704,0
2003-03-01 21:00:00,1.0798,1.1003,1.1064,1.0798,1.0798,1.1003,1.1064,1.0798,0
2003-03-08 21:00:00,1.1003,1.074,1.1083,1.0688,1.1003,1.074,1.1083,1.0688,0
2003-03-15 21:00:00,1.074,1.0522,1.0843,1.0499,1.074,1.0522,1.0843,1.0499,0
2003-03-22 21:00:00,1.0522,1.0779,1.0799,1.0522,1.0522,1.0779,1.0799,1.0522,0
2003-03-29 21:00:00,1.0779,1.0729,1.0957,1.068,1.0779,1.0729,1.0957,1.068,0
2003-04-05 21:00:00,1.0729,1.0751,1.0829,1.0558,1.0729,1.0751,1.0829,1.0558,0
2003-04-12 21:00:00,1.0751,1.088,1.0975,1.0714,1.0751,1.088,1.0975,1.0714,0
2003-04-19 21:00:00,1.088,1.1034,1.1048,1.082,1.088,1.1034,1.1048,1.082,0
2003-04-26 21:00:00,1.1034,1.1227,1.1285,1.0932,1.1034,1.1227,1.1285,1.0932,0
2003-05-03 21:00:00,1.1227,1.1491,1.1535,1.1202,1.1227,1.1491,1.1535,1.1202,0
2003-05-10 21:00:00,1.1491,1.1572,1.1622,1.1368,1.1491,1.1572,1.1622,1.1368,0
2003-05-17 21:00:00,1.1572,1.1827,1.1836,1.1572,1.1572,1.1827,1.1836,1.1572,0
2003-05-24 21:00:00,1.1827,1.1766,1.1933,1.169,1.1827,1.1766,1.1933,1.169,0
2003-05-31 21:00:00,1.1766,1.1699,1.1887,1.1629,1.1766,1.1699,1.1887,1.1629,0
2003-06-07 21:00:00,1.1699,1.1862,1.1876,1.1653,1.1699,1.1862,1.1876,1.1653,0
2003-06-14 21:00:00,1.1862,1.1604,1.1929,1.1549,1.1862,1.1604,1.1929,1.1549,0
2003-06-21 21:00:00,1.1604,1.1426,1.1621,1.1398,1.1604,1.1426,1.1621,1.1398,0
2003-06-28 21:00:00,1.1426,1.1486,1.1608,1.1398,1.1426,1.1486,1.1608,1.1398,0
2003-07-05 21:00:00,1.1486,1.1296,1.1487,1.1257,1.1486,1.1296,1.1487,1.1257,0
2003-07-12 21:00:00,1.1296,1.1273,1.1336,1.1109,1.1296,1.1273,1.1336,1.1109,0
2003-07-19 21:00:00,1.1273,1.1508,1.1548,1.1241,1.1273,1.1508,1.1548,1.1241,0
2003-07-26 21:00:00,1.1508,1.126,1.1539,1.1133,1.1508,1.126,1.1539,1.1133,0
