date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2019-05-15 13:00:00,1.1183,1.11851,1.11907,1.11784,1.11845,1.11865,1.11921,1.11798,19599
2019-05-15 14:00:00,1.11851,1.12074,1.1224,1.11816,1.11865,1.12089,1.12255,1.11829,39695
2019-05-15 15:00:00,1.12074,1.12067,1.12087,1.11987,1.12089,1.12081,1.12101,1.12001,16329
2019-05-15 16:00:00,1.12067,1.12057,1.12107,1.12011,1.12081,1.12071,1.12122,1.12024,8672
2019-05-15 17:00:00,1.12057,1.12068,1.12076,1.12024,1.12071,1.12083,1.12089,1.12037,4742
2019-05-15 18:00:00,1.12068,1.12028,1.12069,1.12013,1.12083,1.12042,1.12083,1.12028,4660
2019-05-15 19:00:00,1.12028,1.12021,1.12031,1.11966,1.12042,1.12035,1.12045,1.1198,3662
2019-05-15 20:00:00,1.12021,1.11996,1.12031,1.11989,1.12035,1.12021,1.12045,1.12003,2684
2019-05-15 21:00:00,1.11996,1.12037,1.12059,1.12005,1.12021,1.12062,1.12087,1.12021,2341
2019-05-15 22:00:00,1.12037,1.12056,1.12087,1.12026,1.12062,1.12071,1.12102,1.12041,2257
2019-05-15 23:00:00,1.12056,1.12063,1.1208,1.12032,1.12071,1.12078,1.12095,1.12046,1918
2019-05-16 00:00:00,1.12063,1.12059,1.12082,1.12042,1.12078,1.12073,1.12096,1.12056,2429
2019-05-16 01:00:00,1.12059,1.12075,1.12092,1.12011,1.12073,1.1209,1.12105,1.12026,6522
2019-05-16 02:00:00,1.12075,1.12074,1.12091,1.1205,1.1209,1.12087,1.12104,1.12065,3058
2019-05-16 03:00:00,1.12074,1.1208,1.12085,1.12063,1.12087,1.12093,1.12098,1.12077,2082
2019-05-16 04:00:00,1.1208,1.12092,1.12092,1.12073,1.12093,1.12106,1.12106,1.12088,1537
2019-05-16 05:00:00,1.12092,1.12088,1.12098,1.12067,1.12106,1.12102,1.12112,1.12081,2026
2019-05-16 06:00:00,1.12088,1.12064,1.12103,1.12039,1.12102,1.12079,1.12117,1.12053,4910
2019-05-16 07:00:00,1.12064,1.12081,1.12117,1.12034,1.12079,1.12096,1.12131,1.12048,10032
2019-05-16 08:00:00,1.12081,1.12198,1.12203,1.12056,1.12096,1.12213,1.12218,1.12071,8786
2019-05-16 09:00:00,1.12198,1.12108,1.12233,1.12072,1.12213,1.12122,1.12246,1.12086,8374
2019-05-16 10:00:00,1.12108,1.12051,1.12116,1.12045,1.12122,1.12066,1.1213,1.1206,6902
2019-05-16 11:00:00,1.12051,1.12037,1.1209,1.11968,1.12066,1.12052,1.12104,1.11983,10069
2019-05-16 12:00:00,1.12037,1.1187,1.12059,1.11865,1.12052,1.11885,1.12071,1.11879,19045
2019-05-16 13:00:00,1.1187,1.11856,1.1192,1.11823,1.11885,1.11869,1.11933,1.11837,15888
2019-05-16 14:00:00,1.11856,1.11774,1.11867,1.11712,1.11869,1.11788,1.1188,1.11726,19961
2019-05-16 15:00:00,1.11774,1.11771,1.11798,1.11718,1.11788,1.11785,1.11812,1.11733,10175
2019-05-16 16:00:00,1.11771,1.11765,1.11812,1.11749,1.11785,1.1178,1.11827,1.11764,6607
2019-05-16 17:00:00,1.11765,1.11784,1.11792,1.11741,1.1178,1.11798,1.11806,1.11755,4861
2019-05-16 18:00:00,1.11784,1.11696,1.11792,1.11694,1.11798,1.1171,1.11806,1.11708,4883
2019-05-16 19:00:00,1.11696,1.11763,1.11765,1.11655,1.1171,1.11777,1.11779,1.11668,5713
2019-05-16 20:00:00,1.11763,1.11727,1.11765,1.11715,1.11777,1.11758,1.11778,1.11731,1448
2019-05-16 21:00:00,1.11727,1.11726,1.11748,1.11709,1.11758,1.11753,1.11776,1.11739,3011
